TicketID,CustomerID,IssueType,Timestamp,ResolutionTime
1,1636,Technical Glitch,2025-02-08 01:02,4
2,4525,Payment Problem,2025-05-04 01:09,1
3,1933,Technical Glitch,2025-09-06 15:05,1
4,4964,Login Issue,2025-02-23 22:54,1
5,1087,Payment Problem,2025-07-08 19:16,1
6,3595,Technical Glitch,2025-12-22 17:59,4
7,4338,Product Query,2025-11-16 05:43,5
8,3324,Account Locked,2025-08-21 03:43,5
9,1070,Technical Glitch,2025-11-05 01:46,6
10,3974,Technical Glitch,2025-06-22 13:25,4
11,3741,Account Locked,2025-08-26 03:54,3
12,3385,Payment Problem,2025-06-15 01:13,3
13,2453,Product Query,2025-05-03 16:52,3
14,1214,Payment Problem,2025-06-18 04:28,3
15,2962,Account Locked,2025-11-13 20:43,5
16,2935,Login Issue,2025-03-20 04:06,3
17,4875,Technical Glitch,2025-04-08 12:59,1
18,3481,Login Issue,2025-11-20 02:33,5
19,4707,Product Query,2025-06-12 01:30,7
20,1984,Account Locked,2025-10-06 20:57,7
21,739,Payment Problem,2025-07-12 10:18,6
22,3100,Account Locked,2025-11-23 02:48,6
23,1133,Payment Problem,2025-10-24 15:40,4
24,4091,Technical Glitch,2025-06-07 21:46,3
25,4336,Payment Problem,2025-07-20 19:46,4
26,697,Technical Glitch,2025-12-11 17:28,5
27,2604,Account Locked,2025-04-24 02:37,7
28,818,Technical Glitch,2025-05-14 20:00,2
29,4682,Login Issue,2025-05-21 23:11,1
30,2068,Payment Problem,2025-04-02 13:14,2
31,2553,Technical Glitch,2025-07-16 15:53,1
32,3145,Product Query,2025-12-23 17:54,4
33,3998,Payment Problem,2025-10-28 15:34,1
34,1812,Payment Problem,2025-10-07 22:16,6
35,27,Product Query,2025-03-18 08:27,2
36,1503,Product Query,2025-10-14 19:36,2
37,4540,Product Query,2025-07-10 06:49,6
38,2684,Product Query,2025-08-08 10:14,7
39,2169,Payment Problem,2025-02-25 23:13,3
40,2993,Login Issue,2025-10-24 19:58,6
41,3981,Payment Problem,2025-04-18 14:31,4
42,2120,Login Issue,2025-05-23 10:06,7
43,2677,Technical Glitch,2025-06-04 20:17,1
44,3026,Product Query,2025-04-21 09:07,6
45,1322,Login Issue,2025-01-12 04:13,2
46,1921,Technical Glitch,2025-09-10 02:19,3
47,4913,Payment Problem,2025-04-25 06:09,1
48,1600,Account Locked,2025-12-13 10:39,4
49,4550,Payment Problem,2025-04-13 13:30,4
50,3204,Login Issue,2025-09-14 16:01,3
51,1554,Technical Glitch,2025-07-19 03:23,7
52,3699,Technical Glitch,2025-08-18 00:44,5
53,4288,Product Query,2025-12-22 02:54,3
54,1383,Login Issue,2025-02-07 14:03,3
55,36,Product Query,2025-07-19 07:45,6
56,3432,Product Query,2025-09-07 11:14,3
57,1824,Login Issue,2025-06-21 01:54,5
58,4530,Payment Problem,2025-10-03 17:18,6
59,529,Account Locked,2025-03-19 09:13,2
60,1833,Login Issue,2025-04-16 11:42,7
61,4573,Account Locked,2025-05-25 09:20,4
62,4046,Account Locked,2025-02-11 12:29,4
63,2100,Technical Glitch,2025-12-21 08:30,4
64,1735,Login Issue,2025-05-17 01:16,1
65,226,Account Locked,2025-01-11 16:28,1
66,4107,Payment Problem,2025-05-01 05:16,4
67,1606,Technical Glitch,2025-03-04 07:27,7
68,4625,Payment Problem,2025-03-23 08:39,1
69,2,Login Issue,2025-11-09 01:56,6
70,4292,Login Issue,2025-02-05 03:12,6
71,4568,Account Locked,2025-08-24 23:54,2
72,292,Payment Problem,2025-07-02 06:48,5
73,1313,Login Issue,2025-12-09 15:13,1
74,3692,Technical Glitch,2025-02-06 20:46,1
75,2579,Product Query,2025-10-08 15:00,5
76,3399,Technical Glitch,2025-12-23 02:04,5
77,53,Product Query,2025-11-18 09:29,2
78,1998,Login Issue,2025-05-26 14:58,3
79,1257,Payment Problem,2025-01-05 15:31,2
80,564,Technical Glitch,2025-04-14 23:14,4
81,4819,Account Locked,2025-10-23 17:52,1
82,593,Account Locked,2025-09-21 03:29,2
83,1829,Technical Glitch,2025-05-14 09:24,5
84,4482,Product Query,2025-10-28 09:48,6
85,4366,Login Issue,2025-01-13 23:45,5
86,3212,Login Issue,2025-05-24 11:03,7
87,206,Account Locked,2025-12-06 21:24,4
88,3510,Payment Problem,2025-01-07 04:04,7
89,4085,Product Query,2025-02-12 08:51,7
90,1796,Login Issue,2025-03-28 15:10,1
91,4207,Payment Problem,2025-03-24 03:12,5
