TransactionID,CustomerID,Date,Amount,PaymentMethod
1,1672,2025-02-13,6902.96,Cash
2,3154,2025-09-07,3559.0,Debit Card
3,2320,2025-03-25,5826.69,Net Banking
4,1435,2025-09-24,2704.32,Cash
5,2541,2025-03-05,4056.82,Credit Card
6,1,2025-05-10,9963.37,Net Banking
7,896,2025-12-18,1568.39,Cash
8,2852,2025-09-09,5901.48,Cash
9,1390,2025-05-11,6321.83,Net Banking
10,2307,2025-02-19,3084.92,Credit Card
11,1767,2025-02-12,7679.93,Credit Card
12,3286,2025-08-16,8063.42,Cash
13,3256,2025-02-25,3563.46,Cash
14,1944,2025-10-07,6459.93,Cash
15,6,2025-09-03,6418.4,Debit Card
16,3098,2025-02-20,9381.48,Cash
17,771,2025-08-11,6536.51,Credit Card
18,414,2025-09-06,1303.98,Net Banking
19,2361,2025-03-24,4766.52,Debit Card
20,3137,2025-07-17,3319.09,UPI
21,2458,2025-06-15,3844.19,UPI
22,47,2025-05-06,4455.45,Debit Card
23,3098,2025-05-22,2148.24,Credit Card
24,1419,2025-11-27,1035.22,UPI
25,3494,2025-07-16,1474.22,Credit Card
26,3925,2025-07-10,4461.15,Debit Card
27,2171,2025-01-28,6687.78,Credit Card
28,4157,2025-08-04,2096.81,UPI
29,3231,2025-04-23,9063.07,UPI
30,3113,2025-01-06,6950.75,UPI
31,257,2025-03-23,2708.18,Net Banking
32,899,2025-09-14,5058.13,UPI
33,577,2025-12-10,8005.48,Debit Card
34,358,2025-12-23,3981.06,Credit Card
35,3764,2025-10-18,2232.04,Cash
36,4617,2025-05-28,6176.02,Net Banking
37,4886,2025-08-05,7451.0,Net Banking
38,875,2025-04-17,229.02,Debit Card
39,3454,2025-02-10,2731.38,Net Banking
40,2277,2025-04-23,7533.64,Cash
41,3260,2025-06-09,1010.09,Cash
42,1018,2025-01-20,5309.94,Cash
43,4854,2025-02-15,3265.84,Debit Card
44,3589,2025-11-23,2959.76,Net Banking
45,3375,2025-12-05,6355.39,Debit Card
46,2481,2025-03-06,3125.63,Cash
47,2825,2025-06-21,5834.08,Debit Card
48,4424,2025-08-27,4055.68,Cash
49,3665,2025-12-05,8275.78,Credit Card
50,1818,2025-05-07,4055.26,Cash
51,1292,2025-07-14,3992.0,Cash
52,3812,2025-09-16,9051.02,UPI
53,1345,2025-11-12,8516.71,UPI
54,2549,2025-12-28,8549.97,UPI
55,2985,2025-10-26,7425.45,Credit Card
56,553,2025-07-06,2422.19,Debit Card
57,578,2025-06-11,5703.07,Credit Card
58,2018,2025-05-17,9530.42,Debit Card
59,4264,2025-07-04,3533.42,Net Banking
60,3950,2025-11-23,9906.85,Net Banking
61,1966,2025-01-27,2628.79,Credit Card
62,4331,2025-09-08,4112.73,Debit Card
63,250,2025-08-12,3352.32,Debit Card
64,3032,2025-05-02,3705.44,Cash
65,3970,2025-07-24,2401.79,Net Banking
66,3225,2025-07-12,968.85,Cash
67,18,2025-07-23,3808.21,Debit Card
68,4747,2025-05-22,3370.47,Credit Card
69,2359,2025-01-11,9067.56,Net Banking
70,4320,2025-09-18,4371.8,Cash
71,3215,2025-02-16,1645.06,Cash
72,2317,2025-12-17,3278.04,UPI
73,1453,2025-05-20,9732.25,UPI
74,1401,2025-06-20,9307.72,Credit Card
75,2791,2025-06-17,9351.56,Net Banking
76,2875,2025-10-17,5795.31,Cash
77,4401,2025-08-05,7317.64,UPI
78,3850,2025-03-22,7304.79,Net Banking
79,3545,2025-03-10,4283.77,Credit Card
80,1501,2025-04-08,2040.6,Net Banking
81,2536,2025-01-23,4279.62,Debit Card
82,2853,2025-09-13,6305.22,Cash
83,3022,2025-09-07,8739.06,Net Banking
84,3739,2025-08-08,1845.78,Net Banking
85,511,2025-07-24,4604.0,Debit Card
86,2673,2025-02-21,4334.65,Net Banking
87,4981,2025-02-21,5197.3,Net Banking
88,3741,2025-10-18,5157.18,Debit Card
89,2066,2025-11-22,4983.52,Net Banking
90,2059,2025-04-15,9341.26,UPI
91,2798,2025-04-03,9120.17,UPI
92,680,2025-01-02,7163.86,Credit Card
93,1576,2025-02-23,934.45,Credit Card
94,3787,2025-05-11,3694.66,Net Banking
95,684,2025-05-13,6372.78,Net Banking
96,1423,2025-05-12,4424.11,Cash
97,4772,2025-09-24,5099.43,Debit Card
98,1353,2025-01-22,5925.07,UPI
99,1070,2025-07-19,8374.12,Credit Card
100,2341,2025-03-06,3568.66,UPI
101,2523,2025-04-13,8469.6,Debit Card
102,11,2025-08-06,695.77,Cash
103,1861,2025-02-14,9125.12,UPI
104,3852,2025-05-01,2878.42,Net Banking
105,2856,2025-01-27,6913.98,Credit Card
106,1402,2025-02-20,3920.66,UPI
107,1967,2025-07-18,6822.64,UPI
108,2944,2025-01-18,1516.22,Net Banking
109,2043,2025-11-07,6584.44,Net Banking
110,3574,2025-02-02,5085.06,Cash
111,2726,2025-08-04,3543.83,Credit Card
112,586,2025-12-09,7247.52,UPI
113,3178,2025-07-06,6376.83,Net Banking
114,746,2025-09-24,2617.77,UPI
115,1568,2025-02-16,5348.1,Net Banking
116,1124,2025-02-06,9853.61,UPI
117,2973,2025-05-14,6698.11,UPI
118,4789,2025-07-21,1875.58,Debit Card
119,4679,2025-10-15,9715.47,Net Banking
120,4582,2025-05-20,821.7,Net Banking
121,3037,2025-09-24,3089.91,Debit Card
122,4276,2025-09-07,9493.77,Debit Card
123,1285,2025-09-03,9826.04,Credit Card
124,4258,2025-08-16,2771.19,Credit Card
125,4877,2025-07-16,294.5,Net Banking
126,1270,2025-06-20,6119.61,Cash
127,1354,2025-10-01,3962.37,Debit Card
128,4310,2025-10-13,3995.36,Credit Card
129,2672,2025-12-25,1354.72,Cash
130,1680,2025-03-17,7505.34,Cash
131,1540,2025-10-09,8528.65,UPI
132,4006,2025-06-22,1215.16,Cash
133,884,2025-06-02,6398.27,Credit Card
134,942,2025-04-22,8829.17,UPI
135,4553,2025-03-25,3202.94,Credit Card
136,1472,2025-08-05,2149.51,Credit Card
137,111,2025-02-15,9718.86,Net Banking
138,3803,2025-05-25,7857.54,Cash
139,2756,2025-01-04,6529.67,Cash
140,1134,2025-03-13,8750.45,UPI
141,1865,2025-01-14,8562.93,Cash
142,1639,2025-05-23,8437.87,Debit Card
143,2377,2025-12-08,9372.34,UPI
144,4713,2025-02-27,6463.61,Credit Card
145,3033,2025-02-26,265.53,UPI
146,1684,2025-10-19,3043.2,UPI
147,544,2025-03-04,1027.96,Credit Card
148,3549,2025-11-10,3411.04,Debit Card
149,1923,2025-07-15,1481.39,Credit Card
150,31,2025-11-16,8873.29,UPI
151,1880,2025-10-14,4473.17,Credit Card
152,4944,2025-06-08,6303.07,Cash
153,3936,2025-12-26,9480.13,UPI
154,725,2025-05-23,3334.69,Debit Card
155,3446,2025-04-20,2988.27,UPI
156,3840,2025-11-16,7875.67,Cash
157,2229,2025-08-11,247.9,UPI
158,1123,2025-09-24,2480.14,Credit Card
159,1140,2025-07-21,1077.21,UPI
160,4373,2025-10-08,3444.03,Net Banking
161,3034,2025-11-10,6289.47,UPI
162,4935,2025-01-09,1063.17,Credit Card
163,212,2025-07-26,9039.95,Net Banking
164,111,2025-06-18,2898.04,Credit Card
165,359,2025-12-06,3105.79,Cash
166,3461,2025-05-24,7105.63,Debit Card
167,4452,2025-07-02,954.55,Net Banking
168,1527,2025-01-09,9079.82,Credit Card
169,1505,2025-08-01,472.3,Credit Card
170,1090,2025-07-17,5977.69,Credit Card
171,1434,2025-04-20,5332.12,Credit Card
172,762,2025-07-22,2344.7,UPI
173,4334,2025-07-22,3125.46,Net Banking
174,3990,2025-08-01,6174.62,Credit Card
175,4905,2025-05-14,4195.4,Cash
176,708,2025-03-16,4951.74,Cash
177,4635,2025-03-04,2653.08,Cash
178,4723,2025-03-24,4415.69,Credit Card
179,3788,2025-11-13,2952.31,Debit Card
180,1422,2025-02-12,692.36,Net Banking
181,2064,2025-01-17,1380.41,Debit Card
182,3222,2025-12-20,1323.23,UPI
183,2886,2025-02-08,6045.4,Credit Card
184,4439,2025-03-21,9307.91,Credit Card
185,1248,2025-05-03,7642.91,Net Banking
186,4139,2025-10-10,6809.61,Credit Card
187,937,2025-06-14,6015.36,Net Banking
188,1114,2025-10-21,5864.44,Net Banking
189,10,2025-01-18,5585.67,Cash
190,53,2025-04-08,6099.15,Net Banking
191,2817,2025-08-06,8775.59,UPI
192,3990,2025-03-20,5236.56,Credit Card
193,1845,2025-04-01,8747.29,Credit Card
194,2431,2025-06-02,7832.1,Net Banking
